id,source_entity_id,target_entity_id,relation_type,weight,confidence,evidence_source,metadata_json,created_at,updated_at
4390,23868,23856,has_exam,1.0,0.8,dict_pair:Fachinformatiker->IHK-Prüfung,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4391,24077,23856,has_exam,1.0,0.8,dict_pair:Elektroniker->IHK-Prüfung,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4392,24121,23856,has_exam,1.0,0.8,dict_pair:Mechatroniker->IHK-Prüfung,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4393,24165,23856,has_exam,1.0,0.8,dict_pair:Industriemechaniker->IHK-Prüfung,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4394,24163,23856,has_exam,1.0,0.8,dict_pair:Kfz-Mechatroniker->IHK-Prüfung,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4395,24403,23856,has_exam,1.0,0.8,dict_pair:Bürokaufmann->IHK-Prüfung,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4396,24489,23856,has_exam,1.0,0.8,dict_pair:Industriekaufmann->IHK-Prüfung,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4397,25060,23856,has_exam,1.0,0.8,dict_pair:Bankkaufmann->IHK-Prüfung,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4398,24122,24042,has_exam,1.0,0.8,dict_pair:Steuerberater->Steuererklärung,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4399,23900,23972,suitable_format,1.0,0.8,dict_pair:Umzug->Checkliste,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4400,23861,23930,related_to,1.0,0.8,dict_pair:KI->Handwerker,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4401,23876,24071,related_to,1.0,0.8,dict_pair:ChatGPT->Lehrer,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4402,23876,23859,related_to,1.0,0.8,dict_pair:ChatGPT->Selbstständige,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4403,24324,23868,related_to,1.0,0.8,dict_pair:Programmieren->Fachinformatiker,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4404,23897,24112,problem_for,1.0,0.8,dict_pair:ADHS->Erwachsene,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4405,23897,24089,problem_for,1.0,0.8,dict_pair:ADHS->Kinder,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4406,23897,23870,problem_for,1.0,0.8,dict_pair:ADHS->Eltern,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4407,23915,23855,problem_for,1.0,0.8,dict_pair:Demenz->Senioren,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4408,23915,23854,problem_for,1.0,0.8,dict_pair:Demenz->Angehörige,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4409,23880,23854,problem_for,1.0,0.8,dict_pair:Pflege->Angehörige,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4410,23880,23855,problem_for,1.0,0.8,dict_pair:Pflege->Senioren,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4411,23959,24156,problem_for,1.0,0.8,dict_pair:Schlafprobleme->Schichtarbeiter,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4412,23895,23887,problem_for,1.0,0.8,dict_pair:Stress->Pflegekräfte,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4413,23895,24156,problem_for,1.0,0.8,dict_pair:Stress->Schichtarbeiter,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4414,24007,23887,problem_for,1.0,0.8,dict_pair:Rückenschmerzen->Pflegekräfte,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4415,24007,24403,problem_for,1.0,0.8,dict_pair:Rückenschmerzen->Bürokaufmann,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4416,23986,23859,related_to,1.0,0.8,dict_pair:Buchhaltung->Selbstständige,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4417,24042,23859,related_to,1.0,0.8,dict_pair:Steuererklärung->Selbstständige,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4418,24042,23935,related_to,1.0,0.8,dict_pair:Steuererklärung->Freelancer,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4419,23987,23918,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4420,23987,23910,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4421,23987,23950,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4422,23987,24029,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4423,23987,24112,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4424,24145,23918,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4425,24145,23910,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4426,24145,23950,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4427,24145,24029,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4428,24145,24112,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4429,24220,23918,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4430,24220,23910,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4431,24220,23950,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4432,24220,24029,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4433,24220,24112,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4434,24224,23918,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4435,24224,23910,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4436,24224,23950,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4437,24224,24029,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4438,24224,24112,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4439,24227,23918,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4440,24227,23910,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4441,24227,23950,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4442,24227,24029,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4443,24227,24112,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4444,24261,23918,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4445,24261,23910,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4446,24261,23950,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
4447,24261,24029,related_to,1.0,0.65,domain:allgemein,,2026-07-16 03:47:50.864957+00:00,2026-07-16 03:47:50.864957+00:00
