candidate_name,normalized_name,status,score,label,risk_category,book_class,confidence,topic,audience,problem,domain,template
Pflegegrad Widerspruch Checkliste für Angehörige,pflegegrad widerspruch checkliste fuer angehoerige,fast_validated,77,GO,low,sachbuch,55,Pflegegrad Widerspruch,Angehörige,,pflege,domain_aware:{topic} Checkliste für {audience}
Pflegegrad Widerspruch Praxisratgeber für Angehörige,pflegegrad widerspruch praxisratgeber fuer angehoerige,fast_validated,77,GO,low,sachbuch,55,Pflegegrad Widerspruch,Angehörige,,pflege,domain_aware:{topic} Praxisratgeber für {audience}
Pflegegrad Widerspruch Arbeitsbuch für Angehörige,pflegegrad widerspruch arbeitsbuch fuer angehoerige,fast_validated,77,GO,low,sachbuch,55,Pflegegrad Widerspruch,Angehörige,,pflege,domain_aware:{topic} Arbeitsbuch für {audience}
Pflegegrad Widerspruch Planer für Angehörige,pflegegrad widerspruch planer fuer angehoerige,fast_validated,77,GO,low,sachbuch,55,Pflegegrad Widerspruch,Angehörige,,pflege,domain_aware:{topic} Planer für {audience}
Social Media Marketing Praxisratgeber für Selbstständige,social media marketing praxisratgeber fuer selbststaendige,fast_validated,76,GO,low,sachbuch,85,Social Media Marketing,Selbstständige,,,Thema Praxisratgeber für Zielgruppe
Pflegegrad Praxisratgeber für Ruheständler,pflegegrad praxisratgeber fuer ruhestaendler,needs_manual_review,74,MAYBE,low,sachbuch,85,Pflegegrad,Ruheständler,,,Thema Praxisratgeber für Zielgruppe
Pflegebedürftigkeit Praxisratgeber für Rentner,pflegebeduerftigkeit praxisratgeber fuer rentner,needs_manual_review,74,MAYBE,low,sachbuch,85,Pflegebedürftigkeit,Rentner,,,Thema Praxisratgeber für Zielgruppe
Haushalt Ordnung Planer strukturierter Leitfaden Planer für Berufstätige,haushalt ordnung planer strukturierter leitfaden planer fuer berufstaetige,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Planer strukturierter Leitfaden,Berufstätige,,haushalt_ordnung,domain_aware:{topic} Planer für {audience}
Haushalt Ordnung Planer strukturierter Leitfaden für Alleinerziehende,haushalt ordnung planer strukturierter leitfaden fuer alleinerziehende,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Planer strukturierter Leitfaden,Alleinerziehende,,haushalt_ordnung,domain_aware:{topic} für {audience}
Haushalt Ordnung Planer strukturierter Leitfaden Praxisratgeber für Alleinerziehende,haushalt ordnung planer strukturierter leitfaden praxisratgeber fuer alleinerziehende,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Planer strukturierter Leitfaden,Alleinerziehende,,haushalt_ordnung,domain_aware:{topic} Praxisratgeber für {audience}
Haushalt Ordnung Arbeitsbuch Wochenplan Workbook Checkliste für Familien,haushalt ordnung arbeitsbuch wochenplan workbook checkliste fuer familien,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Arbeitsbuch Wochenplan Workbook,Familien,,haushalt_ordnung,domain_aware:{topic} Checkliste für {audience}
Haushalt Ordnung Planer strukturierter Leitfaden Arbeitsbuch für Alleinerziehende,haushalt ordnung planer strukturierter leitfaden arbeitsbuch fuer alleinerziehende,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Planer strukturierter Leitfaden,Alleinerziehende,,haushalt_ordnung,domain_aware:{topic} Arbeitsbuch für {audience}
Haushalt Ordnung Planer strukturierter Leitfaden Checkliste für Alleinerziehende,haushalt ordnung planer strukturierter leitfaden checkliste fuer alleinerziehende,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Planer strukturierter Leitfaden,Alleinerziehende,,haushalt_ordnung,domain_aware:{topic} Checkliste für {audience}
Haushalt Ordnung Planer strukturierter Leitfaden Planer für Alleinerziehende,haushalt ordnung planer strukturierter leitfaden planer fuer alleinerziehende,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Planer strukturierter Leitfaden,Alleinerziehende,,haushalt_ordnung,domain_aware:{topic} Planer für {audience}
Pflege Thema 9 mit Checklisten Journal für Pflegebedürftige,pflege thema 9 mit checklisten journal fuer pflegebeduerftige,needs_manual_review,73,MAYBE,low,sachbuch,55,Pflege Thema 9 mit Checklisten Journal,Pflegebedürftige,,pflege,domain_aware:{topic} für {audience}
Pflege Thema 9 mit Checklisten Journal Planer für Pflegebedürftige,pflege thema 9 mit checklisten journal planer fuer pflegebeduerftige,needs_manual_review,73,MAYBE,low,sachbuch,55,Pflege Thema 9 mit Checklisten Journal,Pflegebedürftige,,pflege,domain_aware:{topic} Planer für {audience}
Pflege Thema 9 mit Checklisten Journal Checkliste für Pflegebedürftige,pflege thema 9 mit checklisten journal checkliste fuer pflegebeduerftige,needs_manual_review,73,MAYBE,low,sachbuch,55,Pflege Thema 9 mit Checklisten Journal,Pflegebedürftige,,pflege,domain_aware:{topic} Checkliste für {audience}
