name,entity_type,priority,domain,subdomain,language,country,notes
Deutsch A1 Prüfung,exam,80,sprache,deutsch,DE,,
Deutsch A2 Prüfung,exam,82,sprache,deutsch,DE,,
Deutsch B1 Prüfung,exam,86,sprache,deutsch,DE,,
Deutsch B2 Prüfung,exam,84,sprache,deutsch,DE,,
Deutsch C1 Prüfung,exam,82,sprache,deutsch,DE,,
Telc B1,exam,80,sprache,deutsch,DE,,
Telc B2,exam,78,sprache,deutsch,DE,,
Goethe B1,exam,80,sprache,deutsch,DE,,
Goethe B2,exam,78,sprache,deutsch,DE,,
TestDaF,exam,82,sprache,deutsch,DE,,
DSH Prüfung,exam,76,sprache,deutsch,DE,,
Kaufmann Büromanagement Prüfung,exam,72,beruf,kaufmännisch,DE,,
Steuerfachangestellte Prüfung,exam,74,beruf,steuer,DE,,
Rechtsanwaltsfachangestellte Prüfung,exam,68,beruf,recht,DE,,
Bankkaufmann Prüfung,exam,66,beruf,finanzen,DE,,
Versicherungskaufmann Prüfung,exam,64,beruf,versicherung,DE,,
Immobilienkaufmann Prüfung,exam,64,beruf,immobilien,DE,,
Speditionskaufmann Prüfung,exam,62,beruf,logistik,DE,,
Tourismuskaufmann Prüfung,exam,60,beruf,tourismus,DE,,
Erzieher Prüfung,exam,80,beruf,bildung,DE,,
Altenpfleger Prüfung,exam,84,beruf,pflege,DE,,
Krankenpfleger Prüfung,exam,86,beruf,pflege,DE,,
Medizinische Fachangestellte Prüfung,exam,72,beruf,gesundheit,DE,,
Zahnmedizinische Fachangestellte Prüfung,exam,68,beruf,zahn,DE,,
Microsoft Office Zertifizierung,exam,64,it,office,DE,,
Google Ads Zertifizierung,exam,62,marketing,online,DE,,
Scrum Master Zertifizierung,exam,68,it,agil,DE,,
Projektmanagement Zertifizierung,exam,70,beruf,management,DE,,
Datenschutzbeauftragter Zertifizierung,exam,74,beruf,datenschutz,DE,,
Qualitätsmanagement Zertifizierung,exam,68,beruf,qualität,DE,,
