name,entity_type,priority,domain,subdomain,language,country,notes
Babyschlaf,topic,84,familie,baby,DE,,
Beikost,topic,76,familie,ernährung,DE,,
Kinderernährung,topic,78,familie,ernährung,DE,,
Geschwister,topic,72,familie,beziehung,DE,,
Medienkonsum Kinder,topic,74,familie,digital,DE,,
Pubertät,topic,78,familie,entwicklung,DE,,
Hausaufgaben,topic,74,familie,schule,DE,,
Vorlesen,topic,68,familie,lesen,DE,,
Einschulung,topic,76,familie,schule,DE,,
Kindergeburtstag,topic,66,familie,feier,DE,,
Familienurlaub,topic,70,familie,urlaub,DE,,
Einschlafritual,topic,78,familie,routine,DE,,
Morgenroutine,topic,74,familie,routine,DE,,
Taschengeld,topic,64,familie,finanzen,DE,,
