name,entity_type,priority,domain,subdomain,language,country,notes
Anlagenmechaniker,profession,72,handwerk,sanitär,DE,,
Elektroniker Energie Gebäudetechnik,profession,74,handwerk,elektro,DE,,
Karosseriebauer,profession,64,handwerk,kfz,DE,,
Fahrzeuglackierer,profession,60,handwerk,kfz,DE,,
Trockenbauer,profession,62,handwerk,ausbau,DE,,
Gebäudereiniger,profession,56,handwerk,reinigung,DE,,
Metallbauer,profession,70,handwerk,metall,DE,,
Feinwerkmechaniker,profession,62,handwerk,präzision,DE,,
Zerspanungsmechaniker,profession,68,handwerk,industrie,DE,,
Werkzeugmechaniker,profession,66,handwerk,industrie,DE,,
Stuckateur,profession,58,handwerk,ausbau,DE,,
Parkettleger,profession,56,handwerk,boden,DE,,
Raumausstatter,profession,58,handwerk,ausbau,DE,,
Rollladenbauer,profession,54,handwerk,ausbau,DE,,
Wärmeisolierer,profession,56,handwerk,bau,DE,,
Kälteanlagenbauer,profession,64,handwerk,kälte,DE,,
Bodenleger,profession,56,handwerk,boden,DE,,
Fassadenbauer,profession,58,handwerk,bau,DE,,
Schalungsbauer,profession,54,handwerk,bau,DE,,
Rohrleitungsbauer,profession,62,handwerk,tiefbau,DE,,
Kanalbauer,profession,60,handwerk,tiefbau,DE,,
Gleisbauer,profession,58,handwerk,bahn,DE,,
Brunnenbauer,profession,56,handwerk,tiefbau,DE,,
Spezialtiefbauer,profession,58,handwerk,tiefbau,DE,,
Polsterer,profession,54,handwerk,möbel,DE,,
Segelmacher,profession,50,handwerk,textil,DE,,
Buchbinder,profession,52,handwerk,papier,DE,,
Keramiker,profession,50,handwerk,keramik,DE,,
Glasbläser,profession,48,handwerk,glas,DE,,
Blechblasinstrumentenbauer,profession,48,handwerk,musik,DE,,
Geigenbauer,profession,46,handwerk,musik,DE,,
Klavierbauer,profession,48,handwerk,musik,DE,,
Orgelbauer,profession,46,handwerk,musik,DE,,
Handzahntechniker,profession,56,handwerk,gesundheit,DE,,
Orthopädietechniker,profession,62,handwerk,gesundheit,DE,,
Bandagist,profession,54,handwerk,gesundheit,DE,,
Chirurgiemechaniker,profession,66,handwerk,medizin,DE,,
Büchsenmacher,profession,52,handwerk,waffen,DE,,
Edelsteinfasser,profession,48,handwerk,schmuck,DE,,
Graveur,profession,50,handwerk,gravur,DE,,
