name,entity_type,priority,domain,subdomain,language,country,notes
Grundschullehrer,profession,80,bildung,grundschule,DE,,
Gymnasiallehrer,profession,76,bildung,gymnasium,DE,,
Berufsschullehrer,profession,74,bildung,berufsschule,DE,,
Sonderschullehrer,profession,78,bildung,sonderpädagogik,DE,,
Fachlehrer,profession,70,bildung,fach,DE,,
Vertretungslehrer,profession,66,bildung,vertretung,DE,,
Hochschulprofessor,profession,74,bildung,hochschule,DE,,
Studienrat,profession,72,bildung,gymnasium,DE,,
Tagesmutter,profession,64,bildung,kita,DE,,
Kinderpflegerin,profession,66,bildung,kita,DE,,
Schulsozialarbeiter,profession,72,bildung,sozial,DE,,
Integrationshelfer,profession,68,bildung,integration,DE,,
DaZ-Lehrer,profession,76,bildung,sprache,DE,,
Alphabetisierungslehrer,profession,74,bildung,sprache,DE,,
