name,entity_type,priority,domain,subdomain,language,country,notes
Zahnmedizinische Fachangestellte,profession,68,gesundheit,zahn,DE,,
Tierarzthelferin,profession,62,gesundheit,tier,DE,,
Kinderkrankenschwester,profession,90,gesundheit,pflege,DE,,
Intensivpfleger,profession,88,gesundheit,pflege,DE,,
OP-Pfleger,profession,86,gesundheit,pflege,DE,,
Anästhesiepfleger,profession,84,gesundheit,pflege,DE,,
Palliativpfleger,profession,88,gesundheit,pflege,DE,,
Wundmanager,profession,82,gesundheit,pflege,DE,,
Pflegeberater,profession,80,gesundheit,beratung,DE,,
Pflegedienstleiter,profession,76,gesundheit,leitung,DE,,
Stationsleiter,profession,74,gesundheit,leitung,DE,,
Hauswirtschafterin,profession,60,gesundheit,versorgung,DE,,
Gesundheitspfleger,profession,72,gesundheit,pflege,DE,,
Kinderphysiotherapeut,profession,78,gesundheit,therapie,DE,,
Sportphysiotherapeut,profession,76,gesundheit,therapie,DE,,
Atemtherapeut,profession,72,gesundheit,therapie,DE,,
Sprachtherapeut,profession,74,gesundheit,sprache,DE,,
Schlucktherapeut,profession,70,gesundheit,sprache,DE,,
Hörtherapeut,profession,68,gesundheit,hör,DE,,
Sehtherapeut,profession,66,gesundheit,seh,DE,,
