name,entity_type,priority,domain,subdomain,language,country,notes
IT-Support-Mitarbeiter,profession,72,it,support,DE,,
DevOps Engineer,profession,74,it,infrastruktur,DE,,
Datenbankadministrator,profession,68,it,daten,DE,,
Cloud Architect,profession,72,it,cloud,DE,,
Frontend Entwickler,profession,70,it,web,DE,,
Backend Entwickler,profession,72,it,web,DE,,
Fullstack Entwickler,profession,74,it,web,DE,,
Mobile App Entwickler,profession,72,it,mobile,DE,,
Game Developer,profession,64,it,games,DE,,
Embedded Systems Entwickler,profession,68,it,hardware,DE,,
KI-Entwickler,profession,76,it,ki,DE,,
Data Scientist,profession,74,it,daten,DE,,
Machine Learning Engineer,profession,76,it,ki,DE,,
Scrum Master,profession,66,it,management,DE,,
Product Owner,profession,68,it,management,DE,,
IT-Projektmanager,profession,70,it,management,DE,,
