name,entity_type,priority,domain,subdomain,language,country,notes
Kaufmann für Büromanagement,profession,72,buero,verwaltung,DE,,
Bürokauffrau,profession,70,buero,verwaltung,DE,,
Industriekaufmann,profession,72,buero,industrie,DE,,
Speditionskaufmann,profession,66,buero,logistik,DE,,
Großhandelskaufmann,profession,64,buero,handel,DE,,
Außenhandelskaufmann,profession,66,buero,handel,DE,,
Bankkaufmann,profession,68,buero,finanzen,DE,,
Versicherungskaufmann,profession,66,buero,versicherung,DE,,
Immobilienkaufmann,profession,68,buero,immobilien,DE,,
Tourismuskaufmann,profession,62,buero,tourismus,DE,,
Veranstaltungskaufmann,profession,64,buero,events,DE,,
Marketingkaufmann,profession,66,buero,marketing,DE,,
Personalreferent,profession,68,buero,personal,DE,,
Lohnbuchhalter,profession,70,buero,finanzen,DE,,
Office Manager,profession,64,buero,leitung,DE,,
Assistent der Geschäftsführung,profession,68,buero,leitung,DE,,
Sachbearbeiter,profession,62,buero,verwaltung,DE,,
Sekretär,profession,60,buero,assistenz,DE,,
