name,entity_type,priority,domain,subdomain,language,country,notes
Hotelfachfrau,profession,62,dienstleistung,hotel,DE,,
Restaurantfachmann,profession,60,dienstleistung,gastro,DE,,
Einzelhandelskaufmann,profession,64,dienstleistung,handel,DE,,
Verkäufer,profession,58,dienstleistung,handel,DE,,
Kassierer,profession,52,dienstleistung,handel,DE,,
Filialleiter,profession,62,dienstleistung,handel,DE,,
Callcenter Agent,profession,54,dienstleistung,service,DE,,
Kundenberater,profession,60,dienstleistung,service,DE,,
Empfangsmitarbeiter,profession,56,dienstleistung,büro,DE,,
Pförtner,profession,48,dienstleistung,sicherheit,DE,,
Objektschützer,profession,54,dienstleistung,sicherheit,DE,,
Detektiv,profession,50,dienstleistung,ermittlung,DE,,
Bestatter,profession,56,dienstleistung,bestattung,DE,,
Friedhofsgärtner,profession,52,dienstleistung,garten,DE,,
Schornsteinfeger,profession,66,dienstleistung,gebäude,DE,,
Kaminkehrer,profession,64,dienstleistung,gebäude,DE,,
