name,entity_type,priority,domain,subdomain,language,country,notes
Speditionskaufmann,profession,66,transport,logistik,DE,,
Berufskraftfahrer,profession,64,transport,lkw,DE,,
Lokführer,profession,62,transport,bahn,DE,,
Zugbegleiter,profession,54,transport,bahn,DE,,
Fahrdienstleiter,profession,58,transport,bahn,DE,,
Rangierbegleiter,profession,52,transport,bahn,DE,,
Hafenarbeiter,profession,50,transport,schiff,DE,,
Binnenschiffer,profession,54,transport,schiff,DE,,
Frachtprüfer,profession,52,transport,logistik,DE,,
Kurierfahrer,profession,56,transport,kep,DE,,
Paketzusteller,profession,50,transport,kep,DE,,
Briefzusteller,profession,48,transport,post,DE,,
Disponent,profession,60,transport,logistik,DE,,
Lagermitarbeiter,profession,52,transport,lager,DE,,
