name,entity_type,priority,domain,subdomain,language,country,notes
ChatGPT für Handwerker,topic,82,ki,handwerk,DE,,
ChatGPT im Pflegealltag,topic,76,ki,pflege,DE,,
KI für Kleinunternehmer,topic,80,ki,business,DE,,
KI E-Mail Vorlagen,topic,72,ki,business,DE,,
ChatGPT für Studenten,topic,82,ki,bildung,DE,,
ChatGPT für Senioren,topic,78,ki,senioren,DE,,
KI Angebote erstellen,topic,74,ki,business,DE,,
ChatGPT für Lehrer,topic,78,ki,bildung,DE,,
KI für Immobilienmakler,topic,76,ki,immobilien,DE,,
KI für Coaches,topic,74,ki,coaching,DE,,
KI für Friseure,topic,72,ki,handwerk,DE,,
KI für Gastronomen,topic,70,ki,gastronomie,DE,,
KI für Steuerberater,topic,74,ki,finanzen,DE,,
KI für Fotografen,topic,68,ki,kreativ,DE,,
