name,entity_type,priority,domain,subdomain,language,country,notes
Buchhaltung für Kleinunternehmer,topic,84,business,buchhaltung,DE,,
Rechnungsvorlagen,topic,76,business,buchhaltung,DE,,
Angebotsvorlagen,topic,74,business,verkauf,DE,,
Kleinunternehmer Organisation,topic,78,business,organisation,DE,,
Nebengewerbe Checkliste,topic,82,business,gründung,DE,,
Steuerunterlagen sortieren,topic,78,business,steuer,DE,,
Kundenakquise,topic,76,business,marketing,DE,,
Online-Shop eröffnen,topic,72,business,ecommerce,DE,,
Honorar kalkulieren,topic,74,business,finanzen,DE,,
Aufträge verhandeln,topic,70,business,verkauf,DE,,
E-Mail Vorlagen,topic,66,business,kommunikation,DE,,
Newsletter erstellen,topic,68,business,marketing,DE,,
SEO Grundlagen,topic,72,business,marketing,DE,,
Google My Business,topic,66,business,lokal,DE,,
Kleinunternehmer Steuer,topic,74,business,steuer,DE,,
Altersvorsorge Selbstständige,topic,76,business,finanzen,DE,,
Krankenkasse Freelancer,topic,72,business,finanzen,DE,,
Betriebskosten senken,topic,68,business,finanzen,DE,,
Preiskalkulation,topic,72,business,finanzen,DE,,
Geschäftskonto eröffnen,topic,64,business,finanzen,DE,,
