name,entity_type,priority,domain,subdomain,language,country,notes
Bewerbung schreiben,topic,84,karriere,bewerbung,DE,,
Vorstellungsgespräch,topic,82,karriere,interview,DE,,
Gehaltsverhandlung,topic,80,karriere,finanzen,DE,,
Karrierewechsel,topic,78,karriere,umstieg,DE,,
LinkedIn Profil,topic,68,karriere,netzwerk,DE,,
Arbeitszeugnis,topic,72,karriere,dokument,DE,,
Weiterbildung planen,topic,74,karriere,lernen,DE,,
Quereinstieg,topic,76,karriere,umstieg,DE,,
Selbstbewusst auftreten,topic,72,karriere,persönlichkeit,DE,,
Verhandeln lernen,topic,70,karriere,kommunikation,DE,,
