name,entity_type,priority,domain,subdomain,language,country,notes
Blutdrucktagebuch,topic,93,gesundheit,tracker,DE,,
Blutzuckertagebuch,topic,88,gesundheit,tracker,DE,,
Schmerztagebuch,topic,82,gesundheit,tracker,DE,,
Migräne Tagebuch,topic,78,gesundheit,tracker,DE,,
Schlafprotokoll,topic,80,gesundheit,tracker,DE,,
Symptomtagebuch,topic,76,gesundheit,tracker,DE,,
Medikamentenplan,topic,88,gesundheit,organisation,DE,,
Arzttermin Vorbereitung,topic,84,gesundheit,organisation,DE,,
Krankenhaus Checkliste,topic,82,gesundheit,organisation,DE,,
Reha Planer,topic,76,gesundheit,reha,DE,,
Physiotherapie Übungsbuch,topic,74,gesundheit,therapie,DE,,
Ernährungsprotokoll,topic,76,gesundheit,tracker,DE,,
Allergietagebuch,topic,72,gesundheit,tracker,DE,,
Stimmungstagebuch,topic,78,gesundheit,tracker,DE,,
Angsttagebuch,topic,74,gesundheit,tracker,DE,,
Wechseljahrestagebuch,topic,70,gesundheit,tracker,DE,,
Periodentracker,topic,68,gesundheit,tracker,DE,,
Fitness Tagebuch,topic,72,sport,tracker,DE,,
Gewichtstagebuch,topic,66,gesundheit,tracker,DE,,
Trinkprotokoll,topic,64,gesundheit,tracker,DE,,
