name,entity_type,priority,domain,subdomain,language,country,notes
Fotografie für Anfänger,topic,76,hobby,fotografie,DE,,
Aquarell malen,topic,68,hobby,kunst,DE,,
Zeichnen lernen,topic,72,hobby,kunst,DE,,
Nähen lernen,topic,74,hobby,handarbeit,DE,,
Stricken lernen,topic,70,hobby,handarbeit,DE,,
Häkeln lernen,topic,66,hobby,handarbeit,DE,,
Brot backen,topic,80,hobby,backen,DE,,
Fermentieren,topic,64,hobby,kochen,DE,,
Kochen lernen,topic,82,hobby,kochen,DE,,
Grillen,topic,74,hobby,kochen,DE,,
Balkongarten,topic,80,hobby,garten,DE,,
Hochbeet,topic,76,hobby,garten,DE,,
Zimmerpflanzen,topic,72,hobby,garten,DE,,
Gemüsegarten,topic,78,hobby,garten,DE,,
Kräutergarten,topic,74,hobby,garten,DE,,
Yoga für Anfänger,topic,82,hobby,sport,DE,,
Krafttraining Trainingsplan,topic,78,hobby,sport,DE,,
Lauftraining,topic,76,hobby,sport,DE,,
Wandern,topic,82,hobby,outdoor,DE,,
Camping,topic,78,hobby,outdoor,DE,,
Angeln,topic,74,hobby,outdoor,DE,,
Radfahren,topic,76,hobby,sport,DE,,
Pilates,topic,72,hobby,sport,DE,,
Tanzen lernen,topic,68,hobby,sport,DE,,
