name,entity_type,priority,domain,subdomain,language,country,notes
Haushaltsbuch,topic,84,haushalt,finanzen,DE,,
Familienkalender,topic,76,haushalt,planer,DE,,
Putzplan,topic,78,haushalt,planer,DE,,
Essensplan,topic,82,haushalt,planer,DE,,
Einkaufsliste,topic,74,haushalt,organisation,DE,,
Notfallordner,topic,82,haushalt,organisation,DE,,
Dokumentenmappe,topic,78,haushalt,organisation,DE,,
Behördenpost organisieren,topic,84,haushalt,organisation,DE,,
Passwörter organisieren,topic,72,haushalt,digital,DE,,
Digitale Ordnung,topic,76,haushalt,digital,DE,,
Minimalismus zu Hause,topic,74,haushalt,lifestyle,DE,,
Kleiderschrank ausmisten,topic,68,haushalt,ordnung,DE,,
Keller aufräumen,topic,66,haushalt,ordnung,DE,,
Dachboden ausmisten,topic,64,haushalt,ordnung,DE,,
Umzug Checkliste,topic,78,haushalt,wohnen,DE,,
Renovierung planen,topic,74,haushalt,wohnen,DE,,
Strom sparen,topic,68,haushalt,finanzen,DE,,
Heizkosten senken,topic,66,haushalt,finanzen,DE,,
Wochenplaner,topic,78,haushalt,planer,DE,,
