name,entity_type,priority,domain,subdomain,language,country,notes
Abitur Lernplan,topic,84,lernen,prüfung,DE,,
IHK Prüfungsvorbereitung,topic,86,lernen,prüfung,DE,,
AEVO Prüfung,topic,82,lernen,prüfung,DE,,
Einbürgerungstest,topic,88,lernen,prüfung,DE,,
Deutsch B1 Prüfung,topic,84,lernen,sprache,DE,,
Deutsch B2 Prüfung,topic,82,lernen,sprache,DE,,
Lernplan,topic,80,lernen,organisation,DE,,
Prüfungsangst bewältigen,topic,76,lernen,psyche,DE,,
Klausurvorbereitung,topic,78,lernen,prüfung,DE,,
Referat halten,topic,72,lernen,schule,DE,,
Hausarbeit schreiben,topic,74,lernen,studium,DE,,
Bachelorarbeit,topic,78,lernen,studium,DE,,
Masterarbeit,topic,76,lernen,studium,DE,,
Doktorarbeit,topic,72,lernen,studium,DE,,
Lesetechniken,topic,68,lernen,methodik,DE,,
Vokabeln lernen,topic,74,lernen,sprache,DE,,
Mathe lernen,topic,70,lernen,mathe,DE,,
Gedächtnistraining,topic,76,lernen,gehirn,DE,,
