name,entity_type,priority,domain,subdomain,language,country,notes
Hundetraining Tagebuch,topic,82,haustiere,tracker,DE,,
Welpentraining Planer,topic,80,haustiere,planer,DE,,
Rückruftraining Hund,topic,88,haustiere,training,DE,,
Leinenführigkeit Hund,topic,86,haustiere,training,DE,,
Hund alleine lassen,topic,84,haustiere,erziehung,DE,,
Angsthund Training,topic,80,haustiere,training,DE,,
Hundebegegnungen,topic,76,haustiere,sozial,DE,,
Futtertagebuch Hund,topic,68,haustiere,tracker,DE,,
Katzen Eingewöhnung,topic,74,haustiere,katze,DE,,
Futtertagebuch Katze,topic,66,haustiere,tracker,DE,,
Katzenpflege,topic,70,haustiere,katze,DE,,
Katzenverhalten,topic,72,haustiere,katze,DE,,
Aquarium Pflege,topic,64,haustiere,aquarium,DE,,
Tierarztkosten planen,topic,66,haustiere,finanzen,DE,,
