name,entity_type,priority,domain,subdomain,language,country,notes
Pflegegrad beantragen,topic,92,pflege,verwaltung,DE,,
Pflegegrad Widerspruch,topic,90,pflege,verwaltung,DE,,
MD Begutachtung vorbereiten,topic,88,pflege,verwaltung,DE,,
Pflegeantrag vorbereiten,topic,86,pflege,verwaltung,DE,,
Pflegeunterlagen organisieren,topic,84,pflege,organisation,DE,,
Pflege-Tagebuch,topic,80,pflege,tracker,DE,,
Pflegeprotokoll,topic,78,pflege,dokumentation,DE,,
Pflegeberatung vorbereiten,topic,76,pflege,beratung,DE,,
Pflegesachleistung,topic,72,pflege,verwaltung,DE,,
Kurzzeitpflege,topic,70,pflege,organisation,DE,,
Tagespflege,topic,68,pflege,organisation,DE,,
Verhinderungspflege,topic,66,pflege,organisation,DE,,
Entlastungsbetrag,topic,64,pflege,finanzen,DE,,
Pflegegrad-Höherstufung,topic,88,pflege,verwaltung,DE,,
Pflegehilfsmittel,topic,72,pflege,hilfsmittel,DE,,
Pflegewohngeld,topic,66,pflege,finanzen,DE,,
