name,entity_type,priority,domain
KI für Handwerker,topic,88,ki
KI für Lehrer,topic,82,ki
KI für Pflegekräfte,topic,80,ki
KI für Immobilienmakler,topic,78,ki
KI für Coaches,topic,76,ki
KI für Friseure,topic,74,ki
KI für Gastronomen,topic,72,ki
KI für Steuerberater,topic,76,ki
ChatGPT für Selbstständige,topic,84,ki
ChatGPT für Senioren,topic,80,ki
ChatGPT für Bewerbungen,topic,76,ki
KI für E-Mails,topic,72,ki
KI für Social Media,topic,74,ki
KI für Architekten,topic,74,ki
KI für Anwälte,topic,72,ki
KI für Ärzte,topic,74,ki
KI für Designer,topic,72,ki
KI für Buchhalter,topic,70,ki
KI für Fotografen,topic,66,ki
KI für Softwareentwickler,topic,78,ki
KI für Vertriebler,topic,68,ki
ChatGPT für Studenten,topic,82,ki
ChatGPT für Lehrer,topic,78,ki
KI für Personaler,topic,66,ki
KI für Datenanalysten,topic,74,ki
KI für Texter,topic,68,ki
KI für Journalisten,topic,64,ki
ChatGPT für Kreative,topic,72,ki
KI für Physiotherapeuten,topic,68,ki
KI für Übersetzer,topic,66,ki
ChatGPT für Eltern,topic,68,ki
