name,entity_type,priority,domain
Selbstständige,audience,95,business
Freelancer,audience,88,business
Kleinunternehmer,audience,86,business
Gründer,audience,84,business
Solo-Selbstständige,audience,84,business
Handwerker,audience,88,handwerk
Kleine Betriebe,audience,82,business
Startups,audience,70,business
Nebengewerbler,audience,78,business
Handwerksbetriebe,audience,82,business,handwerk,de,DE,
Lokale Dienstleister,audience,78,business,dienstleistung,de,DE,
Online-Händler,audience,76,business,ecommerce,de,DE,
Kreative Selbstständige,audience,80,business,kreativ,de,DE,
Existenzgründer,audience,84,business,gründung,de,DE,
Jungunternehmer,audience,74,business,gründung,de,DE,
