name,entity_type,priority,domain
Anfänger,audience,88,allgemein
Einsteiger,audience,86,allgemein
Fortgeschrittene,audience,70,allgemein
Erwachsene,audience,80,allgemein
Frauen,audience,75,allgemein
Männer,audience,72,allgemein
Berufstätige,audience,82,arbeit
Vielbeschäftigte,audience,74,allgemein
Singles,audience,68,allgemein
Paare,audience,70,allgemein
Hausbesitzer,audience,74,allgemein
Mieter,audience,76,allgemein
Arbeitnehmer,audience,78,arbeit
Pendler,audience,74,arbeit
Berufseinsteiger,audience,80,arbeit
Quereinsteiger,audience,74,arbeit
Stadtbewohner,audience,72,allgemein
Landbewohner,audience,68,allgemein
Nachtschichtarbeitende,audience,70,arbeit
Werkstudenten,audience,68,arbeit
Praktikanten,audience,66,arbeit
Karrierewechsler,audience,70,arbeit
Hausbesitzer,audience,74,allgemein
Mieter,audience,76,allgemein
Arbeitnehmer,audience,78,arbeit
Pendler,audience,74,arbeit
Berufseinsteiger,audience,80,arbeit
Quereinsteiger,audience,74,arbeit
Stadtbewohner,audience,72,allgemein
Landbewohner,audience,68,allgemein
Nachtschichtarbeitende,audience,70,arbeit
Werkstudenten,audience,68,arbeit
Praktikanten,audience,66,arbeit
Karrierewechsler,audience,70,arbeit
Menschen mit wenig Zeit,audience,82,allgemein,zeit,de,DE,
Menschen mit ADHS,audience,88,allgemein,gesundheit,de,DE,
Menschen mit Schichtarbeit,audience,78,allgemein,arbeit,de,DE,
Frühaufsteher,audience,62,allgemein,routine,de,DE,
Vielreisende,audience,66,allgemein,mobilität,de,DE,
Weniger mobile Menschen,audience,72,allgemein,gesundheit,de,DE,
