name,entity_type,priority,domain
Senioren,audience,95,senioren
Rentner,audience,90,senioren
Ruheständler,audience,88,senioren
Menschen ab 60,audience,80,senioren
Menschen ab 70,audience,75,senioren
Pflegebedürftige,audience,90,pflege
Angehörige,audience,96,pflege
Pflegende Angehörige,audience,95,pflege
Pflegekräfte,audience,90,pflege
Menschen mit Demenz,audience,90,pflege
Menschen mit Parkinson,audience,82,pflege
Menschen mit Arthrose,audience,80,pflege
Diabetiker,audience,84,gesundheit
Bluthochdruckpatienten,audience,82,gesundheit
Menschen mit Sehbehinderung,audience,74,senioren
Menschen mit Hörbehinderung,audience,72,senioren
Rollstuhlfahrer,audience,70,senioren
Krebspatienten,audience,80,gesundheit
Schlaganfallpatienten,audience,78,gesundheit
Menschen mit Demenz,audience,90,pflege
Menschen mit Parkinson,audience,82,pflege
Menschen mit Arthrose,audience,80,pflege
Diabetiker,audience,84,gesundheit
Bluthochdruckpatienten,audience,82,gesundheit
Menschen mit Sehbehinderung,audience,74,senioren
Menschen mit Hörbehinderung,audience,72,senioren
Rollstuhlfahrer,audience,70,senioren
Krebspatienten,audience,80,gesundheit
Schlaganfallpatienten,audience,78,gesundheit
