name,entity_type,priority,domain
Nebengewerbe starten,topic,88,business
Kleinunternehmen gründen,topic,84,business
Existenzgründung,topic,86,business
Firmengründung,topic,82,business
Businessplan,topic,80,business
Geschäftsidee,topic,76,business
Kunden gewinnen,topic,82,business
Akquise,topic,78,business
Marketing,topic,80,business
Social Media Marketing,topic,78,business
Online-Marketing,topic,74,business
Produktivität,topic,80,business
Zeitmanagement,topic,78,business
Selbstorganisation,topic,80,business
Homeoffice,topic,82,business
Netzwerken,topic,74,business
Online-Shop eröffnen,topic,76,business
Steuerberater finden,topic,72,business
Versicherung für Selbstständige,topic,74,business
Altersvorsorge für Selbstständige,topic,76,business
Krankenversicherung Freelancer,topic,70,business
Aufträge verhandeln,topic,72,business
Honorar kalkulieren,topic,74,business
Kundenbindung,topic,72,business
Datenschutz Grundverordnung,topic,66,business
Kaltakquise,topic,68,business
Beschwerdemanagement,topic,66,business
Personal einstellen,topic,64,business
Rechnungsprogramm wählen,topic,68,business
