name,entity_type,priority
Selbstständige,audience,95
Freelancer,audience,88
Kleinunternehmer,audience,86
Gründer,audience,82
Solo-Selbstständige,audience,84
Nebengewerbe,topic,85
Gewerbeanmeldung,topic,80
Buchhaltung,topic,82
Steuererklärung,topic,78
Umsatzsteuer,topic,74
EÜR,topic,72
Rechnung schreiben,topic,76
Angebote schreiben,topic,70
Marketing,topic,78
Social Media Marketing,topic,76
Akquise,topic,74
Kunden gewinnen,topic,80
Preiskalkulation,topic,72
Businessplan,topic,76
Zeitmanagement,topic,78
Produktivität,topic,76
Selbstorganisation,topic,80
Homeoffice,topic,82
Remote Work,topic,78
Existenzgründung,topic,84
Firmengründung,topic,80
Startup,topic,72
Online-Business,topic,76
E-Commerce,topic,74
Amazon FBA,topic,68
KDP,topic,65
Print on Demand,topic,62
Passives Einkommen,topic,70
Finanzielle Freiheit,topic,65
