keyword,risk_category,reason,auto_promote_allowed
anabol,high,substance_related,False
steroide,high,substance_related,False
doping,high,substance_related,False
testosteron,high,substance_related,False
hormon,high,substance_related,False
dosierung,restricted,dosage_content,False
zyklus,restricted,dosage_content,False
cycle,restricted,dosage_content,False
kur,restricted,dosage_content,False
blutdruck,high,health_sensitive,False
blutzucker,high,health_sensitive,False
diabetes,high,health_sensitive,False
demenz,high,health_sensitive,False
alzheimer,high,health_sensitive,False
adhs,high,health_sensitive,False
depression,high,health_sensitive,False
angststörung,high,health_sensitive,False
neurofeedback,high,health_sensitive,False
therapie,high,health_sensitive,False
behandlung,high,health_sensitive,False
steuer,high,legal_sensitive,False
recht,high,legal_sensitive,False
investment,high,financial_sensitive,False
aktien,high,financial_sensitive,False
trading,high,financial_sensitive,False
krypto,high,financial_sensitive,False
geldanlage,high,financial_sensitive,False
rendite,high,financial_sensitive,False
beschaffung,blocked,illegal_content,False
darknet,blocked,illegal_content,False
steuerhinterziehung,blocked,illegal_content,False
