name,entity_type,priority,domain
IHK-Prüfung,exam,95,beruf
IHK Abschlussprüfung,exam,94,beruf
IHK Zwischenprüfung,exam,88,beruf
Ausbildereignungsprüfung,exam,85,beruf
Meisterprüfung,exam,90,handwerk
Fachwirtprüfung,exam,82,beruf
Betriebswirt IHK,exam,80,beruf
Sachkundeprüfung,exam,78,beruf
Pflegeexamen,exam,86,pflege
Fachinformatiker Prüfung,exam,88,it
Staplerschein,exam,70,lizenz
Kranschein,exam,66,lizenz
Rettungsschwimmer,exam,62,lizenz
Erste-Hilfe-Kurs,exam,72,lizenz
Elektrofachkraft Prüfung,exam,74,handwerk
Schweißerprüfung,exam,68,handwerk
Sachkundenachweis Pflanzenschutz,exam,60,lizenz
Sachkundeprüfung 34a,exam,66,lizenz
Staplerschein,exam,70,lizenz
Kranschein,exam,66,lizenz
Rettungsschwimmer,exam,62,lizenz
Erste-Hilfe-Kurs,exam,72,lizenz
Elektrofachkraft Prüfung,exam,74,handwerk
Schweißerprüfung,exam,68,handwerk
Sachkundenachweis Pflanzenschutz,exam,60,lizenz
Sachkundeprüfung 34a,exam,66,lizenz
