name,entity_type,priority,domain
Familienalltag,topic,86,familie
Routinen mit Kindern,topic,82,familie
Babyschlaf,topic,84,familie
Beikost,topic,76,familie
Geschwister,topic,74,familie
Medienkonsum,topic,72,familie
Pubertät,topic,78,familie
Hausaufgaben,topic,74,familie
Vorlesen,topic,68,familie
Kindergeburtstag,topic,66,familie
Geburtsvorbereitung,topic,82,familie
Wochenbett,topic,78,familie
Stillen,topic,80,familie
Fläschchen,topic,72,familie
Kindergarten Eingewöhnung,topic,76,familie
Kinderkrankheiten,topic,78,familie
Erziehungsratgeber,topic,76,familie
Trotzphase,topic,74,familie
Wutausbrüche Kind,topic,72,familie
Grenzen setzen,topic,78,familie
Einschlafritual,topic,78,familie
Morgenroutine,topic,74,familie
Kinderimpfungen,topic,74,familie
Kinderzahnpflege,topic,68,familie
Geschwisterrivalität,topic,68,familie
Belohnungssystem,topic,70,familie
Schulranzen kaufen,topic,62,familie
Schulweg,topic,66,familie
Krabbelgruppe,topic,64,familie
Familienkonferenz,topic,64,familie
