name,entity_type,priority
Eltern,topic,92
Alleinerziehende,topic,88
Familienalltag,topic,85
Haushalt,topic,84
Haushaltsplan,topic,78
Putzen,topic,72
Aufräumen,topic,74
Ausmisten,topic,76
Minimalismus,topic,74
Ordnung,topic,80
Struktur im Alltag,topic,82
Routinen mit Kindern,topic,80
Einschlafen,topic,82
Durchschlafen,topic,78
Babyschlaf,topic,85
Beikost,topic,78
Babyernährung,topic,76
Kinderernährung,topic,74
Geschwister,topic,76
Geschwisterstreit,topic,72
Medienkonsum,topic,74
Handy Kinder,topic,72
Schulprobleme,topic,76
Hausaufgaben,topic,74
Lernprobleme,topic,72
Pubertät,topic,78
Taschengeld,topic,65
Haustiere Kinder,topic,70
Spielen,topic,72
Beschäftigung Kinder,topic,70
Vorlesen,topic,68
Kindergeburtstag,topic,66
Familienurlaub,topic,70
Camping mit Kindern,topic,68
Alleinerziehend Alltag,topic,86
Trennung Kinder,topic,78
Patchworkfamilie,topic,76
