name,entity_type,priority,domain
Ratgeber,book_format,95,format
Praxisratgeber,book_format,92,format
Leitfaden,book_format,90,format
Workbook,book_format,88,format
Arbeitsbuch,book_format,86,format
Übungsbuch,book_format,84,format
Tagebuch,book_format,90,format
Logbuch,book_format,82,format
Planer,book_format,88,format
Checkliste,book_format,85,format
Vorlagenbuch,book_format,82,format
Notizbuch,book_format,78,format
Journal,book_format,76,format
Tracker,book_format,84,format
Lernplaner,book_format,86,format
Trainingsjournal,book_format,78,format
Schritt-für-Schritt-Anleitung,book_format,82,format
