name,entity_type,priority,domain
Fotografie,hobby,80,kreativ
Zeichnen,hobby,74,kreativ
Malen,hobby,76,kreativ
Aquarell,hobby,70,kreativ
Handlettering,hobby,72,kreativ
Nähen,hobby,74,kreativ
Stricken,hobby,70,kreativ
Häkeln,hobby,68,kreativ
Töpfern,hobby,66,kreativ
Basteln,hobby,72,kreativ
Schmuckherstellung,hobby,62,kreativ
Digital Art,hobby,64,kreativ
Videobearbeitung,hobby,64,kreativ
Podcast erstellen,hobby,62,kreativ
Bloggen,hobby,66,kreativ
Schreiben,hobby,70,kreativ
Tagebuch schreiben,hobby,68,kreativ
Bullet Journal,hobby,72,kreativ
Tagebuch schreiben,hobby,68,kreativ
Origami,hobby,60,kreativ
Töpfern,hobby,66,kreativ
Basteln,hobby,72,kreativ
Schmuckherstellung,hobby,62,kreativ
Digital Art,hobby,64,kreativ
Videobearbeitung,hobby,64,kreativ
Podcast erstellen,hobby,62,kreativ
Bloggen,hobby,66,kreativ
Schreiben,hobby,70,kreativ
Tagebuch schreiben,hobby,68,kreativ
Bullet Journal,hobby,72,kreativ
Tagebuch schreiben,hobby,68,kreativ
Origami,hobby,60,kreativ
