name,entity_type,priority
Hund,object,95
Hundeerziehung,hobby,92
Hundetraining,hobby,92
Welpen,object,88
Katzen,object,85
Pferde,object,78
Reiten,hobby,76
Aquarium,hobby,68
Garten,hobby,85
Balkongarten,hobby,82
Gemüsegarten,hobby,80
Kräutergarten,hobby,78
Zimmerpflanzen,hobby,72
Fotografie,hobby,78
Zeichnen,hobby,72
Malen,hobby,74
Aquarell,hobby,68
Handlettering,hobby,70
Kalligrafie,hobby,65
Stricken,hobby,68
Häkeln,hobby,66
Nähen,hobby,72
DIY,hobby,76
Heimwerken,hobby,78
Holzarbeiten,hobby,70
Angeln,hobby,72
Wandern,hobby,80
Camping,hobby,78
Klettern,hobby,68
Laufen,hobby,76
Joggen,hobby,74
Fitness,hobby,82
Krafttraining,hobby,78
Yoga,hobby,84
Meditation,hobby,82
Pilates,hobby,72
Tanzen,hobby,70
Kochen,hobby,85
Backen,hobby,80
Grillen,hobby,72
Brot backen,hobby,78
Fermentieren,hobby,62
Imkern,hobby,60
Fahrrad,hobby,74
Motorrad,hobby,68
Segeln,hobby,62
Surfen,hobby,60
Skifahren,hobby,64
Snowboard,hobby,58
Schach,hobby,65
Brettspiele,hobby,62
Modellbau,hobby,60
Drohnen,hobby,58
Programmieren,hobby,74
