name,entity_type,priority,domain
Lernorganisation,topic,84,lernen
Prüfungsvorbereitung,topic,86,lernen
Lernplan,topic,80,lernen
Gedächtnistraining,topic,78,lernen
Lesetechniken,topic,70,lernen
Notizen machen,topic,72,lernen
Vokabeln lernen,topic,76,lernen
Mathe lernen,topic,72,lernen
Sprachen lernen,topic,80,lernen
Speed Reading,topic,66,lernen
Mind Mapping,topic,70,lernen
Lerntechniken,topic,78,lernen
Klassenarbeit Vorbereitung,topic,74,lernen
Hausaufgabenplan,topic,72,lernen
Online-Kurse,topic,66,lernen
Weiterbildung,topic,70,lernen
E-Learning,topic,64,lernen
Zertifikatsvorbereitung,topic,68,lernen
Nachhilfe geben,topic,64,lernen
Schulmaterial organisieren,topic,68,lernen
