macro_domain,subdomain,micro_domain,audience_hint,problem_hint,format_hint,risk_level,priority,language,country,notes
gesundheit,gesundheit_sub_1,blutdrucktagebuch für senioren,senioren,blutdruckwerte dokumentieren,tagebuch,medium,90,de,DE,curated v2 #1
gesundheit,gesundheit_sub_2,blutzuckertagebuch für diabetiker,diabetiker,werte regelmäßig dokumentieren,tagebuch,medium,88,de,DE,curated v2 #2
gesundheit,gesundheit_sub_3,medikamentenplan für senioren,senioren,medikamente richtig einnehmen,planer,medium,85,de,DE,curated v2 #3
gesundheit,gesundheit_sub_4,schmerztagebuch für chronische schmerzen,erwachsene,schmerzverlauf dokumentieren,tagebuch,medium,82,de,DE,curated v2 #4
gesundheit,gesundheit_sub_5,migräne tagebuch für erwachsene,erwachsene,trigger identifizieren,tagebuch,low,78,de,DE,curated v2 #5
gesundheit,gesundheit_sub_6,schlafprotokoll für schlafprobleme,erwachsene,schlafqualität verbessern,tagebuch,low,76,de,DE,curated v2 #6
gesundheit,gesundheit_sub_7,arzttermin planer für patienten,erwachsene,termine und befunde organisieren,planer,low,74,de,DE,curated v2 #7
gesundheit,gesundheit_sub_8,symptomtagebuch für arztbesuche,erwachsene,symptome vor arzttermin notieren,tagebuch,low,72,de,DE,curated v2 #8
gesundheit,gesundheit_sub_9,notfallordner für gesundheit,senioren,wichtige dokumente griffbereit,arbeitsbuch,medium,80,de,DE,curated v2 #9
gesundheit,gesundheit_sub_10,blutdruck messen anleitung für anfänger,anfaenger,richtig messen lernen,ratgeber,low,70,de,DE,curated v2 #10
pflege,pflege_sub_1,pflegegrad antrag checkliste für angehörige,pflegende_angehoerige,antrag richtig stellen,checkliste,high,92,de,DE,curated v2 #11
pflege,pflege_sub_2,md begutachtung vorbereitung für angehörige,pflegende_angehoerige,begutachtung vorbereiten,checkliste,high,90,de,DE,curated v2 #12
pflege,pflege_sub_3,pflegeordner für angehörige,pflegende_angehoerige,unterlagen organisieren,planer,medium,88,de,DE,curated v2 #13
pflege,pflege_sub_4,demenz alltag planer für familien,familien,alltag mit demenz strukturieren,planer,medium,85,de,DE,curated v2 #14
pflege,pflege_sub_5,pflegekosten übersicht für senioren,senioren,kosten im blick behalten,arbeitsbuch,medium,82,de,DE,curated v2 #15
pflege,pflege_sub_6,pflegekasse briefvorlagen für angehörige,pflegende_angehoerige,anträge korrekt formulieren,vorlagenbuch,medium,80,de,DE,curated v2 #16
pflege,pflege_sub_7,verhinderungspflege planer für familien,familien,ersatzpflege organisieren,planer,low,75,de,DE,curated v2 #17
pflege,pflege_sub_8,entlastungsbetrag checkliste für angehörige,pflegende_angehoerige,leistungen ausschöpfen,checkliste,low,72,de,DE,curated v2 #18
pflege,pflege_sub_9,pflegeheim vergleich für familien,familien,richtiges heim finden,checkliste,medium,78,de,DE,curated v2 #19
pflege,pflege_sub_10,hausnotruf checkliste für senioren,senioren,sicherheit zuhause erhöhen,checkliste,low,70,de,DE,curated v2 #20
haustiere,haustiere_sub_1,rückruftraining hund für ersthundbesitzer,tierhalter,hund kommt zuverlässig zurück,trainingsjournal,low,85,de,DE,curated v2 #21
haustiere,haustiere_sub_2,leinenführigkeit training für hundehalter,tierhalter,entspannt an der leine gehen,trainingsjournal,low,82,de,DE,curated v2 #22
haustiere,haustiere_sub_3,welpentraining plan für welpenbesitzer,tierhalter,welpen richtig sozialisieren,planer,low,80,de,DE,curated v2 #23
haustiere,haustiere_sub_4,angsthund tagebuch für hundehalter,tierhalter,fortschritte dokumentieren,tagebuch,low,75,de,DE,curated v2 #24
haustiere,haustiere_sub_5,futtertagebuch hund für tierhalter,tierhalter,unverträglichkeiten erkennen,tagebuch,low,72,de,DE,curated v2 #25
haustiere,haustiere_sub_6,katzeneingewöhnung checkliste für katzenhalter,tierhalter,katze stressfrei eingewöhnen,checkliste,low,78,de,DE,curated v2 #26
haustiere,haustiere_sub_7,tierarzt notizbuch für hundehalter,tierhalter,befunde und impfungen notieren,notizbuch,low,70,de,DE,curated v2 #27
haustiere,haustiere_sub_8,hundebegegnungen trainingsjournal für hundehalter,tierhalter,begegnungen trainieren,trainingsjournal,low,74,de,DE,curated v2 #28
haustiere,haustiere_sub_9,alleine bleiben training für hunde,tierhalter,trennungsangst überwinden,trainingsjournal,low,76,de,DE,curated v2 #29
haustiere,haustiere_sub_10,katzenklo training für katzenhalter,tierhalter,unsauberkeit lösen,ratgeber,low,68,de,DE,curated v2 #30
software,software_sub_1,excel arbeitsbuch für anfänger,anfaenger,grundfunktionen sicher beherrschen,arbeitsbuch,low,88,de,DE,curated v2 #31
software,software_sub_2,excel haushaltsbuch für familien,familien,finanzen im griff behalten,vorlagenbuch,low,82,de,DE,curated v2 #32
software,software_sub_3,notion planer für selbstständige,selbststaendige,projekte und aufgaben organisieren,planer,low,80,de,DE,curated v2 #33
software,software_sub_4,canva vorlagen für kleinunternehmer,kleinunternehmer,social media grafiken erstellen,vorlagenbuch,low,78,de,DE,curated v2 #34
software,software_sub_5,wordpress checkliste für anfänger,anfaenger,website selbst erstellen,checkliste,low,76,de,DE,curated v2 #35
software,software_sub_6,google kalender organisation für berufstätige,berufstaetige,termine und deadlines managen,planer,low,74,de,DE,curated v2 #36
software,software_sub_7,outlook inbox zero für büro,berufstaetige,e-mail flut bewältigen,arbeitsbuch,low,72,de,DE,curated v2 #37
software,software_sub_8,chatgpt prompts für selbstständige,selbststaendige,ki für business nutzen,arbeitsbuch,medium,84,de,DE,curated v2 #38
software,software_sub_9,shopify checkliste für online händler,kleinunternehmer,shop richtig einrichten,checkliste,low,76,de,DE,curated v2 #39
software,software_sub_10,powerpoint vorlagen für berufseinsteiger,berufseinsteiger,professionelle präsentationen erstellen,vorlagenbuch,low,72,de,DE,curated v2 #40
business,business_sub_1,buchhaltung arbeitsbuch für kleinunternehmer,kleinunternehmer,belege und rechnungen organisieren,arbeitsbuch,medium,86,de,DE,curated v2 #41
business,business_sub_2,rechnung schreiben vorlage für selbstständige,selbststaendige,korrekte rechnungen erstellen,vorlagenbuch,low,82,de,DE,curated v2 #42
business,business_sub_3,businessplan vorlage für gründer,kleinunternehmer,businessplan strukturiert erstellen,vorlagenbuch,medium,84,de,DE,curated v2 #43
business,business_sub_4,steuererklärung checkliste für freelancer,freelancer,alle belege rechtzeitig sammeln,checkliste,medium,80,de,DE,curated v2 #44
business,business_sub_5,kundengewinnung arbeitsbuch für selbstständige,selbststaendige,neue kunden systematisch gewinnen,arbeitsbuch,medium,78,de,DE,curated v2 #45
business,business_sub_6,preiskalkulation arbeitsbuch für kleinunternehmer,kleinunternehmer,preise richtig kalkulieren,arbeitsbuch,low,76,de,DE,curated v2 #46
business,business_sub_7,social media planer für kleinunternehmer,kleinunternehmer,posts und content planen,planer,low,74,de,DE,curated v2 #47
business,business_sub_8,zeitmanagement arbeitsbuch für selbstständige,selbststaendige,effizienter arbeiten,arbeitsbuch,low,72,de,DE,curated v2 #48
business,business_sub_9,angebotsvorlage für handwerker,fachkraefte,professionelle angebote schreiben,vorlagenbuch,low,70,de,DE,curated v2 #49
business,business_sub_10,geschäftskonto checkliste für gründer,kleinunternehmer,richtiges konto wählen,checkliste,low,68,de,DE,curated v2 #50
finanzen,finanzen_sub_1,haushaltsbudget planer für familien,familien,monatliche ausgaben kontrollieren,planer,low,84,de,DE,curated v2 #51
finanzen,finanzen_sub_2,haushaltsbuch für anfänger,anfaenger,einnahmen und ausgaben tracken,arbeitsbuch,low,80,de,DE,curated v2 #52
finanzen,finanzen_sub_3,schuldenfrei planer für erwachsene,erwachsene,schulden systematisch abbauen,planer,medium,78,de,DE,curated v2 #53
finanzen,finanzen_sub_4,altersvorsorge ratgeber für berufseinsteiger,berufseinsteiger,frühzeitig vorsorgen,ratgeber,medium,76,de,DE,curated v2 #54
finanzen,finanzen_sub_5,etf sparplan für anfänger,anfaenger,mit etfs vermögen aufbauen,ratgeber,medium,82,de,DE,curated v2 #55
finanzen,finanzen_sub_6,steuererklärung checkliste für arbeitnehmer,berufstaetige,nichts vergessen bei der steuer,checkliste,low,78,de,DE,curated v2 #56
finanzen,finanzen_sub_7,geld sparen challenge für familien,familien,sparpotentiale im alltag finden,planer,low,72,de,DE,curated v2 #57
finanzen,finanzen_sub_8,kontoauszug verstehen für jugendliche,jugendliche,erste eigene finanzen verstehen,arbeitsbuch,low,68,de,DE,curated v2 #58
finanzen,finanzen_sub_9,nebenkostenabrechnung prüfen für mieter,erwachsene,nebenkosten richtig kontrollieren,checkliste,low,70,de,DE,curated v2 #59
finanzen,finanzen_sub_10,gehaltsverhandlung vorbereitung für berufstätige,berufstaetige,mehr gehalt durchsetzen,arbeitsbuch,low,74,de,DE,curated v2 #60
schule,schule_sub_1,schulstart checkliste für eltern,eltern,nichts vergessen zum schulbeginn,checkliste,low,82,de,DE,curated v2 #61
schule,schule_sub_2,hausaufgabenplaner für grundschüler,eltern,hausaufgaben strukturiert erledigen,planer,low,78,de,DE,curated v2 #62
