name,entity_type,priority,domain
Hundetraining,topic,92,haustiere
Welpentraining,topic,88,haustiere
Leinenführigkeit,topic,86,haustiere
Hund alleine lassen,topic,84,haustiere
Rückruf,topic,85,haustiere
Angsthund Training,topic,82,haustiere
Hundebegegnungen,topic,78,haustiere
Welpentagebuch,topic,80,haustiere
Hundetraining Tagebuch,topic,78,haustiere
Futtertagebuch Hund,topic,70,haustiere
Hundeführerschein,topic,70,haustiere
Hundepflege,topic,68,haustiere
Hundeernährung,topic,72,haustiere
BARF,topic,64,haustiere
Hundeerziehung,topic,88,haustiere
Agility,topic,62,haustiere
Hundesport,topic,60,haustiere
Hundepension,topic,62,haustiere
Hundekrankenversicherung,topic,64,haustiere
Welpenfutter,topic,66,haustiere
