name,entity_type,priority,domain
Schlafprobleme,problem,86,gesundheit
Rückenschmerzen,problem,84,gesundheit
Kopfschmerzen,problem,78,gesundheit
Migräne,problem,76,gesundheit
Blutdruck,problem,88,gesundheit
Blutzucker,problem,84,gesundheit
Allergien,problem,74,gesundheit
Verdauungsprobleme,problem,74,gesundheit
Gelenkschmerzen,problem,78,gesundheit
Nackenschmerzen,problem,76,gesundheit
Tinnitus,problem,72,gesundheit
Hautprobleme,problem,72,gesundheit
Akne,problem,68,gesundheit
Neurodermitis,problem,70,gesundheit
Wechseljahresbeschwerden,problem,76,gesundheit
Menstruationsbeschwerden,problem,72,gesundheit
Heuschnupfen,problem,68,gesundheit
Lebensmittelunverträglichkeiten,problem,72,gesundheit
Sodbrennen,problem,70,gesundheit
Schwindel,problem,70,gesundheit
Glutenunverträglichkeit,problem,66,gesundheit
Verdauungsprobleme,problem,74,gesundheit
Gelenkschmerzen,problem,78,gesundheit
Nackenschmerzen,problem,76,gesundheit
Tinnitus,problem,72,gesundheit
Hautprobleme,problem,72,gesundheit
Akne,problem,68,gesundheit
Neurodermitis,problem,70,gesundheit
Wechseljahresbeschwerden,problem,76,gesundheit
Menstruationsbeschwerden,problem,72,gesundheit
Heuschnupfen,problem,68,gesundheit
Lebensmittelunverträglichkeiten,problem,72,gesundheit
Sodbrennen,problem,70,gesundheit
Schwindel,problem,70,gesundheit
Glutenunverträglichkeit,problem,66,gesundheit
