name,entity_type,priority,domain
Stress,problem,90,organisation
Überforderung,problem,89,organisation
Zeitmangel,problem,88,organisation
fehlende Struktur,problem,91,organisation
Prokrastination,problem,82,organisation
Unordnung,problem,84,organisation
Motivationsprobleme,problem,76,organisation
Routinen aufbauen,problem,84,organisation
Aufschieben,problem,78,organisation
Perfektionismus,problem,76,organisation
Ablenkung,problem,80,organisation
Papierchaos,problem,76,organisation
digitale Unordnung,problem,74,organisation
E-Mail-Flut,problem,72,arbeit
Erschöpfung,problem,82,gesundheit
Burnout,problem,80,gesundheit
Müdigkeit,problem,76,gesundheit
Antriebslosigkeit,problem,74,gesundheit
Entscheidungsprobleme,problem,74,organisation
Multitasking,problem,72,organisation
Aufschieben,problem,78,organisation
Perfektionismus,problem,76,organisation
Ablenkung,problem,80,organisation
Papierchaos,problem,76,organisation
digitale Unordnung,problem,74,organisation
E-Mail-Flut,problem,72,arbeit
Erschöpfung,problem,82,gesundheit
Burnout,problem,80,gesundheit
Müdigkeit,problem,76,gesundheit
Antriebslosigkeit,problem,74,gesundheit
Entscheidungsprobleme,problem,74,organisation
Multitasking,problem,72,organisation
Digitale Ablenkung,problem,78,organisation,digital,de,DE,
