name,entity_type,priority,domain
Hund zieht an der Leine,problem,88,haustiere
Hund bleibt nicht alleine,problem,86,haustiere
Welpe stubenrein,problem,84,haustiere
Angsthund,problem,82,haustiere
Hundebegegnungen,problem,78,haustiere
Rückruftraining,problem,85,haustiere
Katzen Eingewöhnung,problem,74,haustiere
Welpe stubenrein bekommen,problem,84,haustiere,hunde,de,DE,
Katze frisst schlecht,problem,72,haustiere,katzen,de,DE,
Katze kratzt Möbel,problem,70,haustiere,katzen,de,DE,
Tierarztkosten planen,problem,68,haustiere,finanzen,de,DE,
