name,entity_type,priority,domain
Handwerker,profession,88,handwerk
Elektriker,profession,82,handwerk
Tischler,profession,78,handwerk
Maler,profession,74,handwerk
Installateur,profession,76,handwerk
Dachdecker,profession,72,handwerk
Maurer,profession,70,handwerk
Fliesenleger,profession,68,handwerk
Zimmerer,profession,70,handwerk
Kfz-Mechatroniker,profession,78,handwerk
Mechatroniker,profession,80,handwerk
Schreiner,profession,74,handwerk
Glaser,profession,66,handwerk
Steinmetz,profession,62,handwerk
Betonbauer,profession,64,handwerk
Raumausstatter,profession,62,handwerk
Ofenbauer,profession,60,handwerk
Schreiner,profession,74,handwerk
Glaser,profession,66,handwerk
Steinmetz,profession,62,handwerk
Betonbauer,profession,64,handwerk
Raumausstatter,profession,62,handwerk
Ofenbauer,profession,60,handwerk
Straßenbauer,profession,62,handwerk,tiefbau,de,DE,
Schornsteinfeger,profession,68,handwerk,gebäude,de,DE,
Gerüstbauer,profession,64,handwerk,bau,de,DE,
Industriemechaniker,profession,78,industrie,mechanik,DE,,
Augenoptiker,profession,68,handwerk,optik,DE,,
Hörgeräteakustiker,profession,66,handwerk,gesundheit,DE,,
Zahntechniker,profession,64,handwerk,gesundheit,DE,,
