name,entity_type,priority,domain
Bürokaufmann,profession,74,buero
Industriekaufmann,profession,72,buero
Fachinformatiker,profession,92,it
Softwareentwickler,profession,90,it
IT-Administrator,profession,85,it
Steuerberater,profession,80,finanzen
Rechtsanwalt,profession,76,recht
Immobilienmakler,profession,72,immobilien
Versicherungsmakler,profession,68,finanzen
Grafikdesigner,profession,68,kreativ
UX-Designer,profession,66,it
Webentwickler,profession,74,it
Datenanalyst,profession,72,it
Buchhalter,profession,76,finanzen
Steuerfachangestellter,profession,74,finanzen
Personalmanager,profession,70,buero
Architekt,profession,74,bau
Bauingenieur,profession,72,bau
Psychotherapeut,profession,78,gesundheit
Logopäde,profession,74,gesundheit
Rettungsassistent,profession,76,gesundheit
Fotograf,profession,68,kreativ
Übersetzer,profession,64,sprache
Journalist,profession,66,medien
Sozialarbeiter,profession,72,soziales
Landschaftsgärtner,profession,66,garten
Bäcker,profession,68,handwerk
Konditor,profession,66,handwerk
Texter,profession,62,kreativ
Grafikdesigner,profession,68,kreativ
UX-Designer,profession,66,it
Webentwickler,profession,74,it
Datenanalyst,profession,72,it
Buchhalter,profession,76,finanzen
Steuerfachangestellter,profession,74,finanzen
Personalmanager,profession,70,buero
Architekt,profession,74,bau
Bauingenieur,profession,72,bau
Psychotherapeut,profession,78,gesundheit
Logopäde,profession,74,gesundheit
Rettungsassistent,profession,76,gesundheit
Fotograf,profession,68,kreativ
Übersetzer,profession,64,sprache
Journalist,profession,66,medien
Sozialarbeiter,profession,72,soziales
Landschaftsgärtner,profession,66,garten
Bäcker,profession,68,handwerk
Konditor,profession,66,handwerk
Texter,profession,62,kreativ
