name,entity_type,priority,domain
Pflegegrad,topic,90,senioren
Pflegeantrag,topic,88,senioren
Pflegeorganisation,topic,86,senioren
Pflegedokumentation,topic,84,senioren
Demenz,topic,88,senioren
Sturzprävention,topic,80,senioren
Seniorengymnastik,topic,76,senioren
Rente beantragen,topic,82,senioren
Altersvorsorge,topic,80,senioren
Patientenverfügung,topic,84,senioren
Vorsorgevollmacht,topic,82,senioren
Testament,topic,80,senioren
Treppenlift,topic,68,senioren
Hausnotruf,topic,74,senioren
Betreutes Wohnen,topic,76,senioren
Seniorenheim finden,topic,78,senioren
Tagespflege,topic,72,senioren
Kurzzeitpflege,topic,74,senioren
Pflegetagebuch,topic,80,senioren
Pflegeprotokoll,topic,76,senioren
Seniorenhandy,topic,66,senioren
Tablet für Senioren,topic,64,senioren
Digitaler Nachlass,topic,70,senioren
Bestattungsvorsorge,topic,68,senioren
Verhinderungspflege,topic,70,senioren
Pflegesachleistung,topic,68,senioren
Entlastungsbetrag,topic,64,senioren
Pflegeberatung,topic,74,senioren
