name,entity_type,priority,domain,subdomain,language,country,notes
KI für Handwerker,topic,88,ki,handwerk,de,DE,
KI für Pflegekräfte,topic,80,ki,pflege,de,DE,
KI für Immobilienmakler,topic,78,ki,immobilien,de,DE,
KI für Coaches,topic,76,ki,coaching,de,DE,
KI für Lehrer,topic,82,ki,bildung,de,DE,
ChatGPT für Senioren,topic,80,ki,senioren,de,DE,
ChatGPT für Selbstständige,topic,84,ki,business,de,DE,
ChatGPT für Studenten,topic,82,ki,bildung,de,DE,
KI für Friseure,topic,74,ki,handwerk,de,DE,
KI für Gastronomen,topic,72,ki,gastronomie,de,DE,
KI für Architekten,topic,74,ki,bau,de,DE,
KI für Steuerberater,topic,76,ki,finanzen,de,DE,
KI für Anwälte,topic,72,ki,recht,de,DE,
KI für Ärzte,topic,74,ki,medizin,de,DE,
KI für Fotografen,topic,68,ki,kreativ,DE,,
ChatGPT im Handwerk,topic,76,ki,handwerk,DE,,
KI E-Mail Vorlagen,topic,72,ki,business,DE,,
