name,entity_type,priority,domain,subdomain,language,country,notes
Nebengewerbe starten,topic,88,business,gründung,de,DE,
Kleinunternehmen gründen,topic,84,business,gründung,de,DE,
Buchhaltung für Kleinunternehmer,topic,84,business,buchhaltung,de,DE,
Steuerunterlagen organisieren,topic,78,business,steuer,de,DE,
Kundengewinnung,topic,82,business,marketing,de,DE,
Social Media für Selbstständige,topic,78,business,marketing,de,DE,
Preiskalkulation,topic,74,business,finanzen,de,DE,
Angebote schreiben,topic,76,business,verkauf,de,DE,
Businessplan erstellen,topic,80,business,strategie,de,DE,
Angebotsvorlage,topic,78,business,verkauf,DE,,
Rechnungsvorlage,topic,76,business,buchhaltung,DE,,
Social Media Planer,topic,74,business,marketing,DE,,
SEO Grundlagen,topic,72,business,marketing,DE,,
Google My Business,topic,68,business,lokal,DE,,
Kleinunternehmer Steuer,topic,74,business,steuer,DE,,
