name,entity_type,priority,domain,subdomain,language,country,notes
Blutdrucktagebuch,topic,93,gesundheit,tracker,de,DE,
Blutzuckertagebuch,topic,88,gesundheit,tracker,de,DE,
Schmerztagebuch,topic,80,gesundheit,tracker,de,DE,
Medikamentenplan,topic,86,gesundheit,organisation,de,DE,
Arztbesuch Notizbuch,topic,80,gesundheit,organisation,de,DE,
Schlaftagebuch,topic,82,gesundheit,tracker,de,DE,
Symptomtagebuch,topic,76,gesundheit,tracker,de,DE,
Stimmungstagebuch,topic,78,gesundheit,tracker,de,DE,
Ernährungstagebuch,topic,82,gesundheit,tracker,de,DE,
Fitness Tagebuch,topic,76,sport,tracker,de,DE,
ADHS Planer,topic,88,gesundheit,planer,de,DE,
Migräne Tagebuch,topic,78,gesundheit,tracker,de,DE,
Allergietagebuch,topic,72,gesundheit,tracker,de,DE,
Wechseljahrestagebuch,topic,70,gesundheit,tracker,de,DE,
Reha Tagebuch,topic,72,gesundheit,tracker,de,DE,
