name,entity_type,priority,domain,subdomain,language,country,notes
Balkongarten,topic,82,hobby,garten,de,DE,
Hochbeet,topic,76,hobby,garten,de,DE,
Kräutergarten,topic,78,hobby,garten,de,DE,
Meal Prep,topic,78,hobby,kochen,de,DE,
Fermentieren,topic,64,hobby,kochen,de,DE,
Fotografie für Anfänger,topic,76,hobby,fotografie,de,DE,
Aquarell malen,topic,68,hobby,kunst,de,DE,
Zeichnen lernen,topic,72,hobby,kunst,de,DE,
Stricken lernen,topic,66,hobby,handarbeit,de,DE,
Nähen lernen,topic,72,hobby,handarbeit,de,DE,
Häkeln lernen,topic,64,hobby,handarbeit,de,DE,
Brot backen,topic,80,hobby,backen,de,DE,
Wandern,topic,82,hobby,outdoor,de,DE,
Camping,topic,78,hobby,outdoor,de,DE,
Angeln,topic,74,hobby,outdoor,de,DE,
