name,entity_type,priority,domain,subdomain,language,country,notes
Lernplaner,topic,80,lernen,planer,de,DE,
Prüfungsvorbereitung,topic,86,lernen,prüfung,de,DE,
Vokabeltrainer,topic,72,lernen,sprache,de,DE,
Mathe Übungsbuch,topic,68,lernen,mathe,de,DE,
Sprachen lernen,topic,80,lernen,sprache,de,DE,
Lerntechniken,topic,78,lernen,methodik,de,DE,
Gedächtnistraining,topic,78,lernen,gehirn,de,DE,
Mind Mapping,topic,70,lernen,methodik,de,DE,
Klassenarbeit Vorbereitung,topic,74,lernen,prüfung,de,DE,
Abitur Vorbereitung,topic,84,lernen,prüfung,DE,,
Mathe Abitur,topic,78,lernen,mathe,DE,,
Deutsch Abitur,topic,80,lernen,deutsch,DE,,
Mündliche Prüfung,topic,76,lernen,prüfung,DE,,
Hausarbeit schreiben,topic,74,lernen,studium,DE,,
Bachelorarbeit,topic,78,lernen,studium,DE,,
Masterarbeit,topic,76,lernen,studium,DE,,
